timestamp|did|unr-file-name|unr-title|unr-desc|creator|date-inst|site-name|site-address|lat-lon|sign-manf|sign-owner|lit-unlit|time-day|subj-fast|print-pub|rights|format|dcmi|prov|proj-name|unr-cit|corr-guide|dig-pub|contrib|int-ext|rights-owner|date-img|BLANK28
"7/15/2021 21:02"|NNN000715|"DSC_0769.Trip2.JPG; DSC_0771.Trip2.JPG"|"Owl Motel flag mounted sign, Battle Mountain, Nevada"|"<p>View of the flag mounted sign for the Owl Motel, a part of the Owl Club Casino & Restaurant, during the day with unlit neon.</p>"|"Durham, Will"|XXXX||"72 E Front St, Battle Mountain, NV 89820"|"40.6414153, -116.9342091"|||unlit|day|"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829, Motels -- http://id.worldcat.org/fast/1026838"||https://creativecommons.org/licenses/by/4.0/|image/jpeg|image|"Digitized materials: physical originals are not held by UNLV Special Collections and Archives"|"Northern Nevada Neon"|"(TBD by UNLV)"|"(TBD by UNLV)"|"University of Nevada, Las Vegas University Libraries"||Exterior|||2016~/2020~
|NNN000715-001|||||||||||||||||||||||||||
|NNN000715-002|||||||||||||||||||||||||||
"7/15/2021 21:05"|NNN000716|"DSC_0773.Trip2.JPG; DSC_0774.trip2.JPG; DSC_0775.Trip2.JPG; DSC_0776.Trip2.JPG"|"Owl Motel roof and wall mounted signs, Battle Mountain, Nevada"|"<p>View of the roof and wall mounted signs for the Owl Motel, a part of the Owl Club Casino & Restaurant, during the day with unlit neon.</p>"|"Durham, Will"|XXXX||"72 E Front St, Battle Mountain, NV 89820"|"40.6414153, -116.9342091"|||unlit|day|"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829, Motels -- http://id.worldcat.org/fast/1026838"||https://creativecommons.org/licenses/by/4.0/|image/jpeg|image|"Digitized materials: physical originals are not held by UNLV Special Collections and Archives"|"Northern Nevada Neon"|"(TBD by UNLV)"|"(TBD by UNLV)"|"University of Nevada, Las Vegas University Libraries"||Exterior|||2016~/2020~
|NNN000716-001|||||||||||||||||||||||||||
|NNN000716-002|||||||||||||||||||||||||||
|NNN000716-003|||||||||||||||||||||||||||
|NNN000716-004|||||||||||||||||||||||||||
"7/16/2021 18:26"|NNN000717|"DSC_0698.Trip2.JPG; DSC_0699.Trip2.JPG; DSC_0700.Trip2.JPG; DSC_0702.Trip2.JPG"|"Park Motel roof mounted sign, Winnemucca, Nevada"|"<p>View of the roof mounted signs for the Park Motel during the day with unlit neon.</p>"|"Durham, Will"|XXXX||"740 W Winnemucca Blvd, Winnemucca, NV 89445"|"40.9682615, -117.7426289"|||unlit|day|"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829, Motels -- http://id.worldcat.org/fast/1026838"||https://creativecommons.org/licenses/by/4.0/|image/jpeg|image|"Digitized materials: physical originals are not held by UNLV Special Collections and Archives"|"Northern Nevada Neon"|"(TBD by UNLV)"|"(TBD by UNLV)"|"University of Nevada, Las Vegas University Libraries"||Exterior|||2016~/2020~
|NNN000717-001|||||||||||||||||||||||||||
