timestamp,did,unr-file-name,unr-title,unr-desc,creator,date-inst,site-name,site-address,lat-lon,sign-manf,sign-owner,lit-unlit,time-day,subj-fast,print-pub,rights,format,dcmi,prov,proj-name,unr-cit,corr-guide,dig-pub,contrib,int-ext,rights-owner,date-img
7/8/2021 8:19:07,NNN000651,DSC_0763.Trip2.JPG; DSC_0764.Trip2.JPG,"Colt Inn Casino wall mounted sign, Battle Mountain, Nevada","<p>View of the wall mounted sign for Diamond's Casino during the day with unlit neon. The casino is a part of the Ramada by Wyndham.</p><p>1010 E 6th St, Reno, NV 89512</p></br>","Durham, Will",XXXX,,"<p>654 W Front St, Battle Mountain, NV 89820</p>",,,,unlit,day,"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829, Casinos -- http://id.worldcat.org/fast/848246, Hotels -- http://id.worldcat.org/fast/961767",,https://creativecommons.org/licenses/by-nc/4.0/,image/jpeg,image,Digitized materials: physical originals are not held by UNLV Special Collections and Archives,Northern Nevada Neon,(TBD by UNLV),(TBD by UNLV),"University of Nevada, Las Vegas University Libraries",,Exterior,Will Durham,2016~/2020~
,NNN000651-001,,,,,,,,,,,,,,,,,,,,,,,,,,
,NNN000651-002,,,,,,,,,,,,,,,,,,,,,,,,,,
7/8/2021 8:24:24,NNN000652,DSC_0765.Trip2.JPG; DSC_0766.Trip2.JPG; DSC_0767.Trip2.JPG,"Colt Casino double mounted sign, Battle Mountain, Nevada","<p>View of the wall mounted signs for Dilligas Saloon, including views of the electric sign. The business is closed.</p><p>1303 E 4th St, Reno, NV 89512</p></br>","Durham, Will",XXXX,,"<p>654 W Front St, Battle Mountain, NV 89820</p>",,,,unlit,day,"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829, Casinos -- http://id.worldcat.org/fast/848246, Hotels -- http://id.worldcat.org/fast/961767",,https://creativecommons.org/licenses/by-nc/4.0/,image/jpeg,image,Digitized materials: physical originals are not held by UNLV Special Collections and Archives,Northern Nevada Neon,(TBD by UNLV),(TBD by UNLV),"University of Nevada, Las Vegas University Libraries",,Exterior,Will Durham,2016~/2020~
,NNN000652-001,,,,,,,,,,,,,,,,,,,,,,,,,,
,NNN000652-002,,,,,,,,,,,,,,,,,,,,,,,,,,
,NNN000652-003,,,,,,,,,,,,,,,,,,,,,,,,,,
7/8/2021 8:34:20,NNN000653,DSC_0181.Trip2.JPG,"Comstock Casino wall mounted sign, Carson City, Nevada","<p>View of a wall mounted sign for Dos Amigos at night and during the day with lit neon.</p><p>1985 W Winnemucca Blvd, Winnemucca, NV 89445</p></br>","Durham, Will",XXXX,,"<p>3680 Goni Rd # 1, Carson City, NV 89706</p>",,,,unlit,day,"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829, Casinos -- http://id.worldcat.org/fast/848246",,https://creativecommons.org/licenses/by-nc/4.0/,image/jpeg,image,Digitized materials: physical originals are not held by UNLV Special Collections and Archives,Northern Nevada Neon,(TBD by UNLV),(TBD by UNLV),"University of Nevada, Las Vegas University Libraries",,Exterior,Will Durham,2016~/2020~
,NNN000653-001,,,,,,,,,,,,,,,,,,,,,,,,,,
7/8/2021 8:49:31,NNN000654,DSC_0182.Trip2.JPG; DSC_0183.Trip2.JPG,"Comstock Casino mounted sign, Carson City, Nevada","<p>View of the wall mounted sign for Dos Amigos for the casino at night while lit.</p><p>1985 W Winnemucca Blvd, Winnemucca, NV 89445</p></br>","Durham, Will",XXXX,,"<p>3680 Goni Rd # 1, Carson City, NV 89706</p>",,,,unlit,day,"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829, Casinos -- http://id.worldcat.org/fast/848246",,https://creativecommons.org/licenses/by-nc/4.0/,image/jpeg,image,Digitized materials: physical originals are not held by UNLV Special Collections and Archives,Northern Nevada Neon,(TBD by UNLV),(TBD by UNLV),"University of Nevada, Las Vegas University Libraries",,Exterior,Will Durham,2016~/2020~
